Country,Year,Region,GDP_per_capita,Education_Expenditure,Primary_Enrollment,Secondary_Enrollment,Tertiary_Enrollment,Literacy_Rate,Avg_Years_Schooling,Internet_Access,Pupil_Teacher_Ratio,Gender_Parity_Index,Unemployment_Rate,Government_Policy_Score,GDP_per_capita_log,Cluster
Mexico,2023,North America,12979.45,2.63,100.0,60.7,28.4,86.3,12.4,31.3,25.8,1.0,4.1,6.9,9.471122616478969,2
India,2021,South Asia,16592.48,3.6,95.3,71.1,36.7,91.6,12.7,35.2,30.7,0.8,6.5,7.2,9.716704859655485,2
Germany,2023,Europe,17247.93,3.57,94.0,70.1,26.2,93.5,10.2,46.1,24.5,1.03,9.4,7.3,9.75544741525893,2
Kenya,2024,Africa,-2631.96,3.66,98.7,81.1,34.7,86.2,12.1,48.2,22.7,0.98,6.3,8.2,,0
South Korea,2024,East Asia,21603.33,5.72,100.0,75.2,45.2,81.9,10.1,57.4,20.5,1.06,4.5,10.0,9.980602748456464,2
South Africa,2016,Africa,-4048.14,2.68,100.0,82.9,44.4,91.3,9.5,42.1,20.4,0.93,9.9,5.7,,0
Canada,2018,North America,8396.02,4.02,97.1,69.4,22.7,87.4,10.0,49.9,17.6,1.02,2.7,3.2,9.035513063024394,2
Kenya,2016,Africa,-1747.55,4.18,96.6,89.8,47.9,83.4,9.5,39.9,19.9,0.97,8.0,4.3,,0
Egypt,2016,Africa,8154.77,6.8,94.5,79.0,45.4,81.0,9.9,60.3,20.5,0.92,7.1,7.0,9.006358311101286,1
France,2019,Europe,26609.15,5.94,100.0,67.3,48.1,86.8,13.9,43.8,15.8,0.94,1.0,4.9,10.189010420582933,2
Mexico,2020,North America,8926.94,4.73,96.7,93.8,49.3,79.2,7.7,69.8,13.4,1.18,10.5,5.1,9.096828949973848,1
Brazil,2020,South America,1294.92,6.53,94.4,87.4,11.1,79.0,9.5,60.9,17.7,1.06,3.8,5.7,7.166204196163642,0
South Korea,2018,East Asia,15962.37,5.27,98.6,63.8,12.0,97.8,10.2,45.0,27.8,1.01,10.5,6.1,9.677989356219927,0
Nigeria,2016,Africa,20485.98,7.13,93.8,84.7,44.7,98.7,7.6,73.7,25.3,0.82,3.5,1.9,9.927496028719522,2
Saudi Arabia,2017,Middle East,12844.75,5.58,100.0,75.7,59.4,71.2,6.1,58.9,21.9,1.0,1.0,5.8,9.460690446528579,2
Russia,2018,Europe,4564.24,5.5,96.8,65.6,27.3,74.4,9.4,79.1,15.1,1.05,5.4,4.4,8.426007295050757,1
Brazil,2022,South America,14143.76,2.95,92.2,63.0,64.5,85.4,8.1,64.3,19.4,0.98,8.8,7.5,9.55702881640767,1
France,2019,Europe,10755.99,3.64,93.6,52.0,12.3,98.7,12.8,55.0,22.9,1.03,16.2,8.2,9.283218087674674,0
Russia,2018,Europe,13976.66,3.07,87.0,77.0,23.7,70.8,8.2,38.4,28.4,1.09,7.0,9.0,9.545144074511134,1
Japan,2015,East Asia,15618.95,3.21,100.0,80.4,19.4,83.1,7.7,32.3,24.6,1.19,2.8,7.1,9.656240199623326,2
Egypt,2015,Africa,-1205.14,3.77,92.0,66.4,35.7,76.7,10.0,59.0,18.8,0.91,5.3,7.5,,0
Japan,2021,East Asia,19007.34,3.03,95.5,82.5,10.0,90.4,8.2,71.4,16.2,0.82,2.1,6.1,9.85258049933732,2
Nigeria,2016,Africa,6077.78,3.14,98.2,58.4,34.0,72.9,8.2,60.9,15.7,0.96,10.0,4.8,8.7123947767045,1
South Africa,2024,Africa,10685.54,2.81,97.6,89.4,5.0,77.0,10.7,55.9,21.9,0.94,7.3,5.7,9.276646704613816,1
Japan,2018,East Asia,24342.26,4.88,96.7,70.9,27.7,80.7,10.3,51.6,21.4,1.2,9.6,5.3,10.099969213504728,1
Indonesia,2021,Southeast Asia,24609.71,3.89,84.8,64.9,6.9,81.5,9.5,93.5,21.6,0.98,9.5,1.6,10.11089635948796,1
Mexico,2017,North America,16884.92,5.66,87.6,86.4,40.1,80.8,10.8,100.0,20.9,1.02,5.6,4.3,9.734176194875367,2
Nigeria,2017,Africa,10642.69,3.22,95.4,70.2,42.2,88.3,11.6,49.8,18.7,0.9,5.7,6.8,9.272628550491032,2
Egypt,2023,Africa,10055.91,3.12,99.3,88.6,41.2,100.0,8.0,35.1,11.1,1.15,9.0,5.9,9.215915800349364,0
Russia,2019,Europe,17239.75,2.81,100.0,76.3,36.6,92.3,10.5,64.5,16.0,1.05,12.6,8.7,9.754973042952448,0
Argentina,2021,South America,27745.49,3.73,90.1,73.7,35.8,95.9,6.1,90.6,19.2,0.96,4.0,2.7,10.230828583443841,2
Argentina,2021,South America,21585.36,4.61,88.6,62.0,30.0,100.0,9.0,29.9,18.8,0.97,1.0,5.9,9.979770586099281,2
South Korea,2018,East Asia,13152.52,5.54,100.0,86.3,31.0,73.9,14.6,61.2,20.1,1.0,7.6,5.7,9.484368654227262,1
China,2023,East Asia,10410.7,3.68,94.8,69.6,24.3,86.1,9.0,90.1,10.0,1.11,10.7,1.9,9.250589402383845,0
Indonesia,2016,Southeast Asia,12258.5,3.94,88.0,67.2,18.3,100.0,11.4,85.4,23.6,0.89,5.4,7.0,9.413974852902166,2
Canada,2016,North America,5222.98,5.57,93.8,71.3,45.7,89.4,8.8,83.2,14.6,1.06,8.8,5.4,8.560823399212042,0
China,2017,East Asia,17609.06,2.62,99.6,73.2,27.2,95.5,8.1,31.8,12.2,1.06,3.2,9.5,9.776168821303488,2
Australia,2024,Oceania,-1655.44,7.04,96.1,74.0,26.8,89.0,9.4,82.1,20.6,1.02,5.9,5.9,,0
Germany,2021,Europe,17462.41,2.0,88.3,82.4,37.6,83.2,9.5,67.0,17.3,0.92,7.6,4.0,9.767805849650719,1
France,2024,Europe,18266.02,2.0,100.0,79.7,38.8,94.8,12.8,80.3,10.8,0.87,5.1,6.1,9.812797782181496,2
Mexico,2023,North America,19141.27,3.41,95.9,67.4,25.8,70.9,7.7,33.0,15.1,1.11,4.2,10.0,9.859602015992714,1
Nigeria,2023,Africa,7946.54,4.78,90.7,82.0,26.4,86.2,14.6,58.1,25.7,0.93,6.9,9.5,8.980491892786825,0
United States,2016,North America,9984.26,7.22,98.5,69.4,44.5,94.7,10.7,28.6,16.4,0.98,6.8,7.2,9.208765131936797,0
Russia,2019,Europe,16421.61,2.5,96.9,81.1,43.4,95.8,11.2,69.2,19.6,0.83,8.3,6.4,9.706353429356843,2
Japan,2016,East Asia,17172.63,2.58,89.6,85.5,34.4,91.8,9.6,60.6,24.7,0.95,7.3,5.1,9.751072116302504,2
Kenya,2021,Africa,524.03,4.04,96.1,70.2,53.8,76.1,9.1,51.2,27.2,1.02,10.1,3.0,6.2615489345906115,1
Brazil,2022,South America,17136.4,5.83,95.4,85.7,27.2,99.1,14.1,52.7,17.8,1.15,11.7,5.0,9.748960135085495,0
United States,2019,North America,11638.51,4.08,88.3,65.8,19.9,77.3,9.4,64.7,27.8,0.9,10.0,5.6,9.362074706218998,1
Turkey,2017,Europe,14604.29,5.51,89.4,78.8,37.5,89.9,10.1,100.0,16.8,0.95,5.1,4.9,9.589070600151636,2
Turkey,2016,Europe,9900.9,6.28,100.0,69.3,22.5,89.7,8.4,72.7,21.0,0.85,11.6,9.6,9.20038094108161,0
Kenya,2023,Africa,-902.31,3.92,96.4,78.3,44.9,100.0,9.1,44.0,13.1,0.93,6.9,9.6,,0
Saudi Arabia,2018,Middle East,10859.11,4.84,94.9,86.9,72.9,79.7,8.5,80.9,23.4,1.18,8.8,5.3,9.292759638011804,1
China,2020,East Asia,19725.24,6.16,99.1,80.1,51.0,96.7,12.3,73.0,19.2,1.01,10.6,4.4,9.889654312940435,2
Brazil,2023,South America,17949.39,3.91,95.1,87.8,37.9,85.5,6.8,74.9,23.2,1.2,6.1,6.4,9.795311410052072,2
Turkey,2015,Europe,16995.07,6.87,94.5,77.8,44.1,86.9,8.6,63.9,25.4,0.9,7.4,4.6,9.740678580980221,2
Saudi Arabia,2020,Middle East,24560.37,2.22,92.2,78.8,58.5,84.3,8.4,97.6,12.8,0.8,8.3,5.0,10.10888944729418,2
Indonesia,2015,Southeast Asia,6830.14,5.56,96.2,69.4,15.8,93.7,10.8,58.0,29.2,0.89,2.4,4.6,8.829100450158565,2
India,2020,South Asia,14635.31,4.87,93.8,78.5,16.2,99.4,9.3,82.3,21.7,1.05,8.7,6.9,9.59119238099936,0
Kenya,2018,Africa,9141.78,6.49,96.0,82.1,33.7,99.4,8.1,96.0,19.8,0.86,7.4,4.6,9.120610393846057,0
Canada,2018,North America,21725.15,3.52,92.8,56.1,28.2,60.8,6.3,75.2,23.9,1.04,4.1,5.9,9.986225854597674,1
Argentina,2016,South America,14971.18,2.76,100.0,83.8,31.7,85.3,9.9,19.2,18.8,0.93,4.0,5.4,9.613882298622498,2
Germany,2022,Europe,29381.49,5.46,92.1,80.7,56.0,94.2,9.6,47.1,23.5,1.04,9.7,7.3,10.288120163213872,2
Germany,2023,Europe,23396.42,3.7,100.0,77.0,66.1,78.1,13.0,64.0,16.7,0.95,6.0,6.8,10.060338298188416,1
China,2017,East Asia,19182.68,3.64,94.9,96.4,60.9,89.4,9.6,62.4,23.1,0.9,6.2,2.7,9.861763067560512,2
Indonesia,2023,Southeast Asia,18193.78,5.47,92.6,90.7,16.6,70.4,9.9,80.9,28.4,0.95,10.2,5.9,9.808835056410471,1
Brazil,2019,South America,13618.98,5.83,98.3,59.2,57.1,98.8,8.2,67.9,22.5,1.03,5.3,4.7,9.519219687031276,2
Turkey,2024,Europe,14795.57,6.26,97.7,71.3,46.6,56.5,11.8,25.2,18.2,0.89,3.1,8.3,9.602083090621415,1
Australia,2018,Oceania,11258.39,5.02,94.8,79.8,36.2,72.2,11.5,50.1,12.2,0.96,11.5,7.7,9.328868907456282,1
Russia,2018,Europe,12210.78,3.98,93.4,95.8,40.7,89.3,11.6,64.8,18.7,0.98,6.8,5.9,9.41007444712826,0
Kenya,2021,Africa,9821.04,4.58,98.7,74.2,36.2,65.0,11.3,66.9,25.0,0.8,13.3,5.7,9.19228230205448,1
South Korea,2022,East Asia,23865.46,2.94,98.1,64.5,25.6,100.0,9.1,64.3,24.4,1.05,7.5,6.7,10.080187504343277,2
Turkey,2022,Europe,34227.32,4.41,96.0,85.5,51.6,96.9,10.8,37.1,28.2,0.89,7.9,4.5,10.44077943456486,2
India,2018,South Asia,14486.89,4.99,96.6,79.2,59.2,89.5,9.0,79.3,25.9,0.88,8.8,7.4,9.580999381498398,0
Egypt,2016,Africa,1619.49,6.56,94.2,76.3,32.4,85.2,7.3,31.2,28.0,0.92,4.0,1.7,7.389866563847028,0
Japan,2015,East Asia,9888.31,2.52,100.0,85.1,24.7,100.0,11.5,53.5,10.0,1.2,2.8,2.7,9.199108530338721,2
Argentina,2023,South America,23180.56,8.0,100.0,80.6,43.9,93.5,11.0,65.6,20.5,0.99,4.7,5.4,10.051069275359474,2
Egypt,2024,Africa,-9543.65,4.35,90.1,64.0,37.7,98.9,11.3,28.6,15.1,1.09,4.1,5.6,,0
Egypt,2015,Africa,8400.42,3.05,95.5,61.7,26.0,88.2,6.3,68.8,19.9,1.06,7.7,8.7,9.036036983581447,0
Germany,2015,Europe,16001.8,3.86,95.6,80.4,35.7,85.4,8.1,46.7,13.0,1.17,3.3,4.6,9.680456494894267,2
Egypt,2016,Africa,-1747.26,5.84,93.5,87.5,24.9,87.8,7.8,100.0,14.1,1.03,8.9,6.8,,0
Canada,2020,North America,13517.7,4.31,95.2,73.5,49.5,100.0,8.4,32.6,19.6,1.2,4.6,9.3,9.511755216781994,2
Germany,2023,Europe,28421.61,3.67,97.8,91.3,29.3,83.0,8.3,39.7,16.8,0.88,7.1,4.5,10.254905050292832,2
Egypt,2019,Africa,5870.29,2.17,96.7,83.3,5.1,88.7,12.0,35.8,28.4,1.04,4.9,5.9,8.677659315349688,0
Indonesia,2018,Southeast Asia,19466.62,4.61,97.7,65.8,37.5,70.9,9.3,41.9,16.3,1.12,10.3,7.2,9.876456482885061,1
Russia,2017,Europe,6261.5,4.03,100.0,76.4,69.8,88.9,9.9,53.8,20.7,0.98,9.1,7.9,8.742175052004088,0
Argentina,2024,South America,8712.08,2.5,85.8,80.1,18.4,63.5,10.3,100.0,20.0,1.08,7.2,5.8,9.072465847307091,1
Indonesia,2018,Southeast Asia,22352.61,4.06,96.3,78.2,25.0,94.9,9.2,44.9,22.7,0.91,7.1,6.0,10.014698371747125,2
Indonesia,2021,Southeast Asia,23687.16,5.21,94.9,83.2,55.9,90.6,9.5,33.8,14.7,0.97,5.2,5.6,10.072688408159763,2
South Africa,2016,Africa,4453.2,5.29,94.6,79.9,36.0,65.2,7.6,57.1,14.0,1.06,11.6,8.4,8.401378217854552,1
India,2021,South Asia,13292.46,6.74,95.7,71.6,25.8,82.0,8.7,63.4,20.8,1.0,8.3,8.4,9.494952236158243,1
South Korea,2021,East Asia,22596.43,2.27,82.2,84.3,14.5,82.8,7.2,24.0,22.7,1.08,5.3,0.8,10.025547208180885,2
Australia,2022,Oceania,10630.04,5.09,87.6,76.8,34.8,90.8,9.7,40.5,26.0,0.98,6.9,4.1,9.271439234264003,0
Canada,2016,North America,11453.74,3.17,94.1,92.1,14.4,68.9,12.4,55.8,16.7,1.1,5.2,9.7,9.346071593202538,1
Canada,2021,North America,20423.41,3.77,100.0,68.9,46.1,88.0,12.1,91.2,20.2,0.92,8.4,4.6,9.92443707092083,2
Japan,2016,East Asia,31107.1,4.7,93.2,76.8,14.8,75.3,11.9,46.9,14.8,1.05,10.6,7.4,10.345191367931736,1
Egypt,2018,Africa,11968.38,3.36,87.9,90.0,30.2,82.5,12.2,71.1,22.3,1.2,5.1,7.9,9.390023451047094,2
South Africa,2023,Africa,4456.1,4.9,100.0,80.1,43.1,95.7,8.8,43.2,14.8,0.8,13.2,3.8,8.402029223007016,0
Mexico,2017,North America,13229.97,4.08,96.5,83.2,47.9,79.2,9.2,65.7,18.8,1.16,8.5,7.5,9.490239989532734,1
Australia,2017,Oceania,20303.05,6.26,95.9,62.0,41.0,78.5,8.4,71.7,26.2,1.0,7.9,9.4,9.918526400049451,1
Nigeria,2022,Africa,5926.03,8.0,97.8,57.4,46.3,88.8,12.1,73.5,19.3,0.88,6.4,4.3,8.687109790557416,0
Egypt,2016,Africa,-644.19,5.38,100.0,78.9,17.1,89.4,11.9,47.8,19.3,1.0,4.6,7.3,,0
Mexico,2023,North America,14032.41,5.13,90.6,70.6,45.8,81.3,13.0,52.0,21.1,1.09,2.7,2.5,9.549124933113264,2
India,2015,South Asia,2794.75,6.39,92.2,100.0,26.5,86.8,12.6,100.0,30.3,1.12,10.1,7.2,7.935497936150435,0
Russia,2015,Europe,21226.89,3.67,90.9,75.0,32.4,80.5,10.9,79.1,20.4,1.15,3.6,5.6,9.96302405315159,2
Germany,2018,Europe,9265.42,2.0,94.6,73.8,57.7,91.3,7.5,97.1,26.1,1.06,6.3,4.1,9.134044469586227,0
Brazil,2021,South America,12022.35,6.13,100.0,90.4,27.7,73.8,9.8,24.6,21.6,0.99,5.6,2.8,9.394522696467622,1
Indonesia,2022,Southeast Asia,19108.8,3.7,89.2,46.3,34.6,100.0,12.8,50.9,17.0,1.05,4.0,6.6,9.857904240914163,2
South Africa,2021,Africa,10128.64,6.34,94.5,73.0,21.8,76.7,9.0,67.3,24.6,0.92,11.5,5.5,9.223122333540719,1
Canada,2017,North America,14829.06,3.38,82.9,83.8,46.1,82.2,9.6,70.3,12.2,0.95,9.4,3.5,9.604344048092718,1
France,2015,Europe,17348.46,2.47,97.3,74.6,10.8,96.6,8.0,43.8,21.0,1.11,4.0,6.1,9.761259020628616,2
France,2019,Europe,18430.53,5.54,95.9,71.3,22.6,85.9,7.4,10.0,22.2,1.09,1.0,4.0,9.821763807711044,2
Mexico,2019,North America,19953.23,7.59,95.1,67.7,32.3,98.7,8.2,44.0,17.6,0.9,7.4,9.2,9.901146313974753,2
Australia,2023,Oceania,17584.63,4.12,93.5,59.4,48.2,84.2,9.1,100.0,21.5,0.92,5.7,8.3,9.774780504027072,2
Indonesia,2017,Southeast Asia,15906.16,2.34,99.6,68.3,63.1,95.8,8.6,85.6,20.3,1.09,8.5,4.3,9.674461734563684,2
South Africa,2019,Africa,-1148.4,6.04,93.3,71.0,20.7,89.2,13.6,38.6,20.1,1.14,6.8,6.9,,0
South Africa,2015,Africa,-4499.15,5.14,94.1,84.9,52.8,100.0,10.7,66.5,21.0,0.96,8.0,5.4,,0
Argentina,2023,South America,16347.69,6.48,90.0,86.4,54.8,83.8,5.3,47.8,26.5,1.0,4.0,5.0,9.701841881940148,2
Canada,2020,North America,21724.96,5.32,93.8,71.3,29.1,75.8,12.7,53.6,26.1,1.15,10.0,5.1,9.98621710893512,1
Canada,2015,North America,18229.84,4.46,90.5,78.2,17.3,96.9,8.6,64.0,21.4,0.97,8.8,5.1,9.810815090892559,2
Argentina,2022,South America,21970.38,2.48,95.6,94.4,20.0,78.2,10.5,63.6,21.8,1.05,8.9,8.2,9.99745046154223,1
Turkey,2023,Europe,18278.55,4.14,98.4,94.0,33.0,75.3,11.7,57.6,10.0,1.08,5.4,5.8,9.813483520198991,1
Brazil,2015,South America,17655.84,4.79,98.5,70.6,42.7,82.4,11.0,72.3,15.3,1.11,5.4,7.6,9.778821885820296,2
Turkey,2016,Europe,17938.3,7.26,93.9,71.5,34.7,82.0,11.1,27.7,14.7,0.89,9.9,9.4,9.794693370810593,1
Brazil,2016,South America,14164.41,4.25,95.4,86.6,21.1,87.4,11.5,70.0,20.9,1.1,1.0,7.4,9.558487759438096,2
Saudi Arabia,2016,Middle East,9767.39,2.0,97.6,88.7,32.9,94.5,12.7,86.3,28.2,1.07,7.2,2.8,9.186804565028083,0
Egypt,2021,Africa,2031.5,3.24,100.0,73.2,36.8,90.5,9.6,93.9,16.9,1.02,4.8,3.4,7.616529715427782,0
India,2024,South Asia,10105.85,4.44,92.9,68.1,13.9,84.2,6.5,75.2,20.4,0.85,6.1,4.5,9.220869743073978,0
Egypt,2024,Africa,6553.4,6.51,85.6,76.2,32.6,91.7,9.9,45.0,18.4,0.92,10.2,6.0,8.787739277921283,0
Saudi Arabia,2015,Middle East,30209.53,4.41,91.5,59.9,8.0,69.2,10.0,70.2,12.1,1.09,5.6,6.3,10.315912716497364,1
Saudi Arabia,2016,Middle East,27897.77,5.85,93.7,66.1,5.0,77.8,9.1,40.3,19.3,1.01,6.3,4.7,10.236302036299607,1
Australia,2024,Oceania,16349.24,5.16,89.5,89.1,33.5,85.2,10.9,64.7,24.8,1.03,5.2,6.7,9.701936692064594,2
Argentina,2023,South America,5850.19,4.66,94.8,72.9,33.1,66.2,8.4,61.9,20.8,0.9,10.8,4.3,8.674229418330961,1
Japan,2019,East Asia,22755.66,5.14,91.8,92.8,17.1,94.2,11.5,46.6,27.0,0.97,7.9,6.5,10.032569184644487,2
South Africa,2020,Africa,2925.53,5.72,99.0,57.5,54.6,68.4,11.6,82.5,14.5,0.96,3.7,5.6,7.981230939833035,1
Egypt,2019,Africa,1535.73,5.67,100.0,89.0,26.6,82.9,6.1,43.9,24.8,1.16,3.3,4.8,7.336761117006283,0
France,2017,Europe,14788.75,4.92,91.0,79.2,27.9,84.9,10.6,60.1,17.8,0.99,6.7,5.3,9.601622035567873,2
Kenya,2022,Africa,1929.63,6.9,97.8,72.0,45.5,81.7,11.8,67.4,19.5,1.04,2.3,3.7,7.565083553675691,0
Japan,2016,East Asia,5448.6,4.71,100.0,97.3,44.6,90.0,5.9,49.1,16.1,0.94,6.5,5.1,8.603113973923838,0
United States,2022,North America,-834.4,5.62,89.6,77.4,66.1,75.8,4.4,54.3,25.5,1.2,3.3,7.0,,0
Saudi Arabia,2024,Middle East,11277.52,4.34,100.0,60.0,38.8,89.7,11.7,62.0,21.5,0.96,7.8,5.3,9.330566642723674,0
India,2016,South Asia,19972.58,3.95,96.9,74.7,51.9,84.5,6.0,85.2,15.5,0.93,5.2,8.7,9.902115611855749,2
Russia,2018,Europe,-2085.39,8.0,100.0,77.2,34.2,87.9,10.5,72.9,22.8,1.01,6.4,5.7,,0
Turkey,2019,Europe,13440.73,6.2,98.0,45.6,44.8,86.9,9.5,52.2,25.6,1.09,4.7,6.8,9.5060449280783,2
China,2020,East Asia,7226.75,2.43,91.9,83.6,49.3,90.1,11.0,70.3,16.8,1.04,9.4,7.5,8.885544698184301,0
Germany,2018,Europe,24511.31,5.56,96.8,85.7,34.6,76.2,9.2,45.1,16.6,0.99,4.6,5.4,10.106889922666307,2
South Korea,2019,East Asia,-148.92,4.82,95.0,66.8,44.9,94.4,6.3,44.7,16.2,0.91,9.5,5.6,,0
Brazil,2022,South America,12883.88,2.0,98.2,62.6,35.9,87.8,12.2,33.8,10.0,1.02,12.4,8.5,9.463732196530037,0
Russia,2019,Europe,16677.28,3.76,99.0,65.3,42.1,90.1,11.6,100.0,22.0,0.95,6.9,2.5,9.72180259307109,2
Saudi Arabia,2023,Middle East,9442.29,3.89,92.4,76.5,22.7,96.2,9.5,59.8,18.4,1.02,9.5,4.3,9.152953814466388,0
United States,2023,North America,9735.07,4.04,88.3,66.8,27.9,93.7,10.0,63.9,24.3,0.99,8.2,5.8,9.183490108330012,0
Kenya,2016,Africa,6122.9,3.63,82.8,73.7,56.3,94.3,11.4,84.7,20.4,1.02,5.1,5.4,8.719791119481123,0
China,2019,East Asia,19926.17,6.31,94.3,70.5,35.0,91.0,6.6,14.1,17.2,0.88,5.5,5.7,9.899789222135205,2
India,2016,South Asia,11374.01,6.68,96.6,78.0,44.3,73.6,11.6,58.5,23.4,0.89,2.3,7.6,9.339086207064529,1
Russia,2017,Europe,18011.28,3.15,90.7,86.3,17.2,100.0,7.7,72.8,18.4,1.06,5.4,5.7,9.798753507271407,2
Nigeria,2019,Africa,4327.35,3.0,98.7,69.9,31.6,75.1,4.4,56.2,32.1,1.08,6.9,5.5,8.372710624404561,1
Saudi Arabia,2018,Middle East,15179.73,5.32,89.1,86.1,45.7,92.2,10.4,60.4,23.4,1.06,5.9,4.9,9.627716264230173,2
Japan,2018,East Asia,15814.85,6.82,88.8,60.3,37.5,85.5,9.8,64.9,18.9,1.15,2.2,4.3,9.668704651028314,2
Nigeria,2023,Africa,3173.96,2.04,94.1,91.6,35.3,87.3,7.0,47.7,18.1,0.97,10.8,7.1,8.06273529861249,0
Indonesia,2019,Southeast Asia,6108.34,4.87,97.5,86.4,58.7,74.8,7.9,34.8,18.8,1.05,10.0,5.8,8.717410329491331,1
Canada,2016,North America,12441.22,4.73,90.8,95.9,10.9,86.8,13.5,60.1,19.0,0.96,6.5,8.7,9.4287704322241,2
Australia,2019,Oceania,-2694.9,6.8,87.9,72.3,28.6,90.9,6.3,69.2,30.1,0.86,7.6,4.7,,0
Canada,2015,North America,18407.1,4.53,91.8,79.9,62.1,83.1,10.9,34.1,15.2,1.05,11.5,6.7,9.820491738733779,1
Japan,2017,East Asia,12495.54,4.5,88.7,81.0,48.2,80.5,8.6,65.3,17.8,0.99,13.3,5.5,9.433127059622128,1
Nigeria,2017,Africa,1133.28,3.53,98.7,73.2,25.3,98.2,12.3,48.0,10.7,1.1,4.9,7.6,7.032871362005312,0
Mexico,2023,North America,-760.83,5.84,88.9,82.3,35.2,75.5,8.7,73.7,20.5,1.06,12.9,2.9,,1
Australia,2023,Oceania,27937.7,4.66,90.5,61.7,32.2,94.2,9.2,90.2,12.7,1.0,3.2,6.7,10.23773231016699,2
United States,2016,North America,22095.1,3.87,82.0,77.0,41.6,89.0,12.0,38.6,23.4,1.12,1.7,6.6,10.003111143465437,2
Germany,2017,Europe,10966.56,4.38,96.7,70.1,24.9,85.3,7.3,38.3,23.4,0.89,9.0,6.9,9.302605921594282,0
Russia,2015,Europe,1193.55,3.48,100.0,65.2,28.0,89.6,11.1,55.0,17.0,1.14,12.2,8.0,7.084687338491653,0
South Korea,2024,East Asia,15682.55,3.29,90.8,80.2,41.3,99.0,10.8,29.9,25.3,0.9,5.8,6.5,9.660303908232992,2
Russia,2017,Europe,30965.34,8.0,98.0,73.2,43.0,93.9,8.9,95.9,21.2,1.05,9.0,6.8,10.340623793450746,2
Australia,2017,Oceania,21711.52,3.57,92.2,64.0,41.6,92.8,10.4,93.5,20.0,1.07,3.7,5.2,9.985598274240001,2
Canada,2019,North America,20564.3,5.77,93.5,74.3,12.2,81.4,11.3,71.5,22.5,1.0,7.0,4.7,9.931311841670421,1
