Country,Year,GDP_per_capita,GDP_per_capita_winsorized,GDP_per_capita_log
India,1970,13292.46,13292.46,9.495027463948025
South Korea,1970,22596.43,22596.43,10.025591461979971
Australia,1970,10630.04,10630.04,9.271533302862657
Canada,1970,11453.74,11453.74,9.346158897118
Canada,1970,20423.41,20423.41,9.92448603314208
Japan,1970,31107.1,27317.421,10.215316515528354
Egypt,1970,11968.38,11968.38,9.390107001053492
South Africa,1970,4456.1,4456.1,8.402253609311417
Mexico,1970,13229.97,13229.97,9.490315572637527
Australia,1970,20303.05,20303.05,9.918575652520088
Nigeria,1970,5926.03,5926.03,8.687278523357616
Egypt,1970,-644.19,-644.19,
Mexico,1970,14032.41,14032.41,9.549196194170337
India,1970,2794.75,2794.75,7.935855685908297
Russia,1970,21226.89,21226.89,9.963071162099048
Germany,1970,9265.42,9265.42,9.134152391951298
Brazil,1970,12022.35,12022.35,9.394605871422026
Indonesia,1970,19108.8,19108.8,9.857956571454801
South Africa,1970,10128.64,10128.64,9.223221058605317
Canada,1970,14829.06,14829.06,9.604411480976793
France,1970,17348.46,17348.46,9.761316660971337
France,1970,18430.53,18430.53,9.821818064038565
Mexico,1970,19953.23,19953.23,9.901196429917999
Australia,1970,17584.63,17584.63,9.774837370254405
Indonesia,1970,15906.16,15906.16,9.674524601312601
South Africa,1970,-1148.4,-1148.4,
South Africa,1970,-4499.15,-2777.4275,
Argentina,1970,16347.69,16347.69,9.701903050791275
Canada,1970,21724.96,21724.96,9.98626313787997
Canada,1970,18229.84,18229.84,9.810869944504738
Argentina,1970,21970.38,21970.38,9.997495976332726
Turkey,1970,18278.55,18278.55,9.813538227637302
Brazil,1970,17655.84,17655.84,9.778878522699756
Turkey,1970,17938.3,17938.3,9.794749115899466
Brazil,1970,14164.41,14164.41,9.558558356427445
Saudi Arabia,1970,9767.39,9767.39,9.186906941283434
Egypt,1970,2031.5,2031.5,7.617021841421965
India,1970,10105.85,10105.85,9.220968690765362
Egypt,1970,6553.4,6553.4,8.787891858827605
Saudi Arabia,1970,30209.53,27317.421,10.215316515528354
Saudi Arabia,1970,27897.77,27317.421,10.215316515528354
Australia,1970,16349.24,16349.24,9.701997855116748
Argentina,1970,5850.19,5850.19,8.674400338342522
Japan,1970,22755.66,22755.66,10.032613128789729
South Africa,1970,2925.53,2925.53,7.981572699831988
Egypt,1970,1535.73,1535.73,7.337412061223822
France,1970,14788.75,14788.75,9.601689652248934
Kenya,1970,1929.63,1929.63,7.56560165350439
Japan,1970,5448.6,5448.6,8.60329749046837
United States,1970,-834.4,-834.4,
Saudi Arabia,1970,11277.52,11277.52,9.330655310770073
India,1970,19972.58,19972.58,9.902165679246467
Russia,1970,-2085.39,-2085.39,
Turkey,1970,13440.73,13440.73,9.506119326031497
China,1970,7226.75,7226.75,8.885683063399506
Germany,1970,24511.31,24511.31,10.106930719327188
South Korea,1970,-148.92,-148.92,
Brazil,1970,12883.88,12883.88,9.463809809888266
Russia,1970,16677.28,16677.28,9.721862553089768
Saudi Arabia,1970,9442.29,9442.29,9.153059715370775
United States,1970,9735.07,9735.07,9.183592824452527
Kenya,1970,6122.9,6122.9,8.719954427447648
China,1970,19926.17,19926.17,9.89983940613485
India,1970,11374.01,11374.01,9.339174122939644
Russia,1970,18011.28,18011.28,9.798809026492732
Nigeria,1970,4327.35,4327.35,8.372941686018168
Saudi Arabia,1970,15179.73,15179.73,9.627782139384921
Japan,1970,15814.85,15814.85,9.668767880738711
Nigeria,1970,3173.96,3173.96,8.063050312822234
Indonesia,1970,6108.34,6108.34,8.717574026691166
Canada,1970,12441.22,12441.22,9.428850806963327
Australia,1970,-2694.9,-2694.9,
Canada,1970,18407.1,18407.1,9.820546064121134
Japan,1970,12495.54,12495.54,9.433207084974201
Nigeria,1970,1133.28,1133.28,7.033753367389803
Mexico,1970,-760.83,-760.83,
Australia,1970,27937.7,27317.421,10.215316515528354
United States,1970,22095.1,22095.1,10.003156401344842
Germany,1970,10966.56,10966.56,9.302697103734317
Russia,1970,1193.55,1193.55,7.085524824408029
South Korea,1970,15682.55,15682.55,9.660367671340317
Russia,1970,30965.34,27317.421,10.215316515528354
Australia,1970,21711.52,21711.52,9.98564433167732
Canada,1970,20564.3,20564.3,9.931360468450173
South Korea,1970,20590.63,20590.63,9.93263996153151
South Korea,1970,20468.55,20468.55,9.926693695023369
Egypt,1970,-1034.11,-1034.11,
South Korea,1970,12121.85,12121.85,9.402847380495079
Australia,1970,22121.59,22121.59,10.00435453738953
China,1970,9226.1,9226.1,9.12990008527858
Brazil,1970,6019.64,6019.64,8.702948844944475
Australia,1970,2751.14,2751.14,7.920134069852317
Brazil,1970,13948.22,13948.22,9.543178871707772
Australia,1970,8729.87,8729.87,9.074620300225671
Nigeria,1970,4607.64,4607.64,8.435688081620448
India,1970,8712.11,8712.11,9.072584066965092
Canada,1970,10603.54,10603.54,9.269037490291879
Egypt,1970,1768.3,1768.3,7.478339267118957
Mexico,1970,4191.41,4191.41,8.341031026561758
Kenya,1970,5401.69,5401.69,8.594652256665915
Egypt,1970,8444.1,8444.1,9.04134167049802
South Africa,1970,23413.73,23413.73,10.061120590481332
Japan,1970,-6085.98,-2777.4275,
Germany,1970,21867.61,21867.61,9.992807554266413
South Korea,1970,17976.84,17976.84,9.79689516732736
France,1970,14657.41,14657.41,9.592769511168429
Japan,1970,10005.24,10005.24,9.210964177369135
India,1970,9126.61,9126.61,9.119059164949915
Brazil,1970,11455.65,11455.65,9.346325626417656
Nigeria,1970,18474.45,18474.45,9.824198102759283
India,1970,19086.34,19086.34,9.856780567042508
Australia,1970,18705.65,18705.65,9.836634354599923
Japan,1970,17797.2,17797.2,9.786852607571335
Saudi Arabia,1970,21054.31,21054.31,9.954908063831265
India,1970,18094.47,18094.47,9.803416909686497
Argentina,1970,18998.91,18998.91,9.852189521295253
Nigeria,1970,19700.7,19700.7,9.888460205419175
Australia,1970,12318.9,12318.9,9.418971120171452
Turkey,1970,18090.59,18090.59,9.803202468390914
South Africa,1970,9036.24,9036.24,9.109109097035203
Australia,1970,13585.81,13585.81,9.516854748171296
Japan,1970,11102.38,11102.38,9.315004845452842
Japan,1970,19585.02,19585.02,9.882571325417766
Kenya,1970,11323.12,11323.12,9.334690243137848
Kenya,1970,1768.93,1768.93,7.478695276763232
Japan,1970,27503.11,27317.421,10.215316515528354
Kenya,1970,5734.2,5734.2,8.654377902538663
China,1970,9256.65,9256.65,9.133205515735083
Australia,1970,19278.54,19278.54,9.866799708958746
Brazil,1970,-2905.85,-2777.4275,
Argentina,1970,21145.66,21145.66,9.959237252382058
France,1970,2862.61,2862.61,7.959838345623769
United States,1970,13595.49,13595.49,9.517566950178349
Kenya,1970,16624.94,16624.94,9.718719405279035
Australia,1970,22972.56,22972.56,10.04209926843698
Saudi Arabia,1970,18733.37,18733.37,9.83811508376087
Mexico,1970,24784.66,24784.66,10.11802053910961
Mexico,1970,25109.65,25109.65,10.131047337917746
Turkey,1970,5958.37,5958.37,8.692720049774273
Brazil,1970,-262.46,-262.46,
Kenya,1970,-6297.31,-2777.4275,
Saudi Arabia,1970,42.07,42.07,3.7628266990660193
Germany,1970,12259.61,12259.61,9.414146963554243
Kenya,1970,7403.92,7403.92,8.9098999231324
South Africa,1970,6539.63,6539.63,8.785788770087011
United States,1970,16618.63,16618.63,9.718339805827092
Egypt,1970,2513.23,2513.23,7.829721872634504
Saudi Arabia,1970,23333.8,23333.8,10.057701087530816
Mexico,1970,18604.83,18604.83,9.831230251449183
Argentina,1970,11131.51,11131.51,9.317624935466283
France,1970,1150.39,1150.39,7.048725187124959
France,1970,18458.1,18458.1,9.823312752805487
China,1970,5100.59,5100.59,8.537307534829782
India,1970,14227.01,14227.01,9.562967835907571
Egypt,1970,11827.38,11827.38,9.378257007612204
Turkey,1970,33253.21,27317.421,10.215316515528354
Canada,1970,7381.47,7381.47,8.90686354994575
Egypt,1970,-9252.99,-2777.4275,
Mexico,1970,21234.79,21234.79,9.963443244786706
Mexico,1970,15099.99,15099.99,9.622515583567768
Russia,1970,20109.28,20109.28,9.908986406090952
Japan,1970,20323.33,20323.33,9.919573969543032
Saudi Arabia,1970,24361.59,24361.59,10.100804038011148
Australia,1970,9978.13,9978.13,9.208251191156908
Mexico,1970,17708.42,17708.42,9.781851980381754
Indonesia,1970,31688.38,27317.421,10.215316515528354
Nigeria,1970,12831.02,12831.02,9.459698888708573
Nigeria,1970,-6926.59,-2777.4275,
Indonesia,1970,20431.45,20431.45,9.924879602305436
Nigeria,1970,-5226.66,-2777.4275,
Germany,1970,26607.42,26607.42,10.18898298603453
Egypt,1970,12847.2,12847.2,9.46095900269054
Japan,1970,19044.71,19044.71,9.854597158343836
Russia,1970,13220.2,13220.2,9.489576880844433
China,1970,10141.16,10141.16,9.224456272211594
Egypt,1970,8178.01,8178.01,9.009326395377581
China,1970,20563.22,20563.22,9.931307951425891
Germany,1970,23710.16,23710.16,10.073701102367115
Australia,1970,11363.62,11363.62,9.338260299739968
Russia,1970,12582.56,12582.56,9.440146479091858
Australia,1970,18969.59,18969.59,9.850645164185
South Africa,1970,-14.27,-14.27,
France,1970,8635.54,8635.54,9.063757318628433
United States,1970,346.54,346.54,5.850879766294108
France,1970,17646.81,17646.81,9.778366975342854
United States,1970,17773.68,17773.68,9.78553025169645
Kenya,1970,11667.09,11667.09,9.364613044362047
Australia,1970,8344.36,8344.36,9.029460974770004
Russia,1970,24916.67,24916.67,10.123332469332635
Egypt,1970,-2591.48,-2591.48,
Egypt,1970,2567.25,2567.25,7.850980012096373
Australia,1970,30182.14,27317.421,10.215316515528354
United States,1970,12287.02,12287.02,9.416380082990296
Japan,1970,21262.99,21262.99,9.964770310674512
Brazil,1970,12119.69,12119.69,9.402669188695885
China,1970,5855.85,5855.85,8.67536719538109
Russia,1970,19824.76,19824.76,9.89473738120332
France,1970,10426.03,10426.03,9.252156751931325
Argentina,1970,18392.53,18392.53,9.819754251325817
Germany,1970,22964.65,22964.65,10.041754900300125
China,1970,-1147.9,-1147.9,
Brazil,1970,7038.81,7038.81,8.859336460151525
Nigeria,1970,4827.51,4827.51,8.482293210441382
Japan,1970,20317.62,20317.62,9.919292986000373
Mexico,1970,13797.44,13797.44,9.53231082127714
Japan,1970,17057.59,17057.59,9.744409168157564
Nigeria,1970,-3142.3,-2777.4275,
Nigeria,1970,937.46,937.46,6.844240233914205
Indonesia,1970,24455.13,24455.13,10.1046361792255
Russia,1970,10085.41,10085.41,9.21894425221697
South Korea,1970,25368.5,25368.5,10.141302944082206
Germany,1970,12025.14,12025.14,9.394837892975293
United States,1970,22600.13,22600.13,10.02575518401042
South Africa,1970,5144.39,5144.39,8.545856447144613
Saudi Arabia,1970,10551.05,10551.05,9.264075432824136
Egypt,1970,12075.77,12075.77,9.399039051629343
Indonesia,1970,12898.72,12898.72,9.46496088468784
Argentina,1970,24996.04,24996.04,10.126512696840505
Mexico,1970,12760.05,12760.05,9.45415284191453
South Korea,1970,9146.95,9146.95,9.121285089452178
Saudi Arabia,1970,17780.49,17780.49,9.785913307581449
India,1970,16943.06,16943.06,9.737672608911405
Kenya,1970,-12622.49,-2777.4275,
Argentina,1970,11093.81,11093.81,9.314232710389058
Kenya,1970,21359.49,21359.49,9.969298232885919
France,1970,5790.77,5790.77,8.66419322333234
South Africa,1970,11459.48,11459.48,9.34665987420834
Argentina,1970,26697.57,26697.57,10.192365284901623
India,1970,5486.14,5486.14,8.610162451586767
Saudi Arabia,1970,20069.29,20069.29,9.906995891112997
Argentina,1970,14092.15,14092.15,9.553444142716788
South Korea,1970,14498.88,14498.88,9.581895652512351
Australia,1970,13058.41,13058.41,9.47726422569969
Germany,1970,9118.39,9118.39,9.1181581948665
Japan,1970,19951.09,19951.09,9.901089178735626
Australia,1970,15688.89,15688.89,9.660771834867576
India,1970,11537.81,11537.81,9.353471415160845
South Korea,1970,14925.69,14925.69,9.610906164681271
China,1970,11667.0,11667.0,9.364605330987612
Brazil,1970,16949.26,16949.26,9.73803845192399
Nigeria,1970,10382.75,10382.75,9.247997363153281
Russia,1970,4012.78,4012.78,8.29748871968286
Mexico,1970,26480.7,26480.7,10.184209207386022
Argentina,1970,18943.89,18943.89,9.849289517154505
Japan,1970,22981.06,22981.06,10.04246919055301
Germany,1970,4131.41,4131.41,8.32661605087363
Mexico,1970,8767.26,8767.26,9.078893662032819
Mexico,1970,6559.29,6559.29,8.788790088278093
Saudi Arabia,1970,13424.63,13424.63,9.504920845650313
Japan,1970,14841.01,14841.01,9.605216952293496
Indonesia,1970,21037.87,21037.87,9.954126958185027
Brazil,1970,9768.81,9768.81,9.187052297560113
South Africa,1970,5816.28,5816.28,8.668588077529696
Nigeria,1970,-1379.88,-1379.88,
Nigeria,1970,5257.02,5257.02,8.567509809010245
Nigeria,1970,6594.72,6594.72,8.794176232808786
United States,1970,13998.6,13998.6,9.546784036760654
South Africa,1970,6096.53,6096.53,8.715639050127173
Egypt,1970,4819.88,4819.88,8.480711762994403
Indonesia,1970,4144.52,4144.52,8.329783512053138
Egypt,1970,13197.38,13197.38,9.487849373770127
Indonesia,1970,10359.87,10359.87,9.245791489121594
United States,1970,11310.64,11310.64,9.333587563018908
Kenya,1970,11049.17,11049.17,9.310201091442941
France,1970,7329.77,7329.77,8.899835837112546
Kenya,1970,-712.9,-712.9,
South Korea,1970,24441.03,24441.03,10.10405947039266
Russia,1970,16733.46,16733.46,9.725225345422393
South Korea,1970,18284.4,18284.4,9.813858206198734
Russia,1970,6438.47,6438.47,8.770201517575076
South Korea,1970,21471.35,21471.35,9.974521339936622
Nigeria,1970,2493.91,2493.91,7.822007935390715
Nigeria,1970,1779.65,1779.65,7.484733745167652
India,1970,20490.83,20490.83,9.927781549104322
Japan,1970,11370.91,11370.91,9.338901558564405
Russia,1970,18091.06,18091.06,9.803228446975167
South Africa,1970,9098.6,9098.6,9.11598573549489
Indonesia,1970,12477.63,12477.63,9.431772860256606
Argentina,1970,8150.64,8150.64,9.005974412985337
Saudi Arabia,1970,13149.59,13149.59,9.484221903519572
India,1970,22610.45,22610.45,10.02621169413124
Kenya,1970,8618.91,8618.91,9.061829922767966
South Korea,1970,34106.98,27317.421,10.215316515528354
Kenya,1970,16741.36,16741.36,9.72569731379613
Russia,1970,19150.97,19150.97,9.860160861380487
Nigeria,1970,2112.67,2112.67,7.656181052069001
Canada,1970,7044.57,7044.57,8.860154329505574
Kenya,1970,3806.14,3806.14,8.244633530069352
Indonesia,1970,-1722.42,-1722.42,
United States,1970,19056.16,19056.16,9.855198162958168
Kenya,1970,9275.61,9275.61,9.13525145731718
Indonesia,1970,14498.81,14498.81,9.58189082487454
Japan,1970,11252.03,11252.03,9.328392704702189
Canada,1970,10505.26,10505.26,9.25972654897087
Indonesia,1970,11193.64,11193.64,9.32319037130276
Germany,1970,5043.66,5043.66,8.526085537057797
Indonesia,1970,20059.63,20059.63,9.906514466805428
Argentina,1970,1491.96,1491.96,7.3085160054857115
China,1970,17142.75,17142.75,9.749388954685914
Argentina,1970,28309.86,27317.421,10.215316515528354
Germany,1970,27275.86,27275.86,10.213794002693286
India,1970,28985.1,27317.421,10.215316515528354
Australia,1970,13434.41,13434.41,9.505649037889492
Saudi Arabia,1970,12644.35,12644.35,9.445044837645487
Egypt,1970,-5583.73,-2777.4275,
France,1970,14081.58,14081.58,9.552693851562248
Mexico,1970,20862.63,20862.63,9.945762730673426
Argentina,1970,-1838.0,-1838.0,
Kenya,1970,14304.61,14304.61,9.568407047007764
Saudi Arabia,1970,18992.77,18992.77,9.851866309642503
Saudi Arabia,1970,17733.28,17733.28,9.783254768695427
South Africa,1970,9949.21,9949.21,9.205348935457558
Nigeria,1970,4330.3,4330.3,8.373623006883125
Brazil,1970,15676.15,15676.15,9.65995951717993
Brazil,1970,23230.15,23230.15,10.05324932948962
Germany,1970,14680.84,14680.84,9.594366634913484
United States,1970,20513.32,20513.32,9.928878457848743
Mexico,1970,18836.06,18836.06,9.843581484997722
Indonesia,1970,20972.89,20972.89,9.95103360979206
Canada,1970,17184.09,17184.09,9.75179742639562
Kenya,1970,682.98,682.98,6.527928677428978
Mexico,1970,23323.45,23323.45,10.05725744558759
Egypt,1970,12235.52,12235.52,9.412180201916017
Argentina,1970,6793.06,6793.06,8.823803980003287
Australia,1970,29278.2,27317.421,10.215316515528354
Russia,1970,6551.75,6551.75,8.787640087846313
China,1970,22776.46,22776.46,10.033526729467495
China,1970,11700.17,11700.17,9.367444115786181
Canada,1970,4313.1,4313.1,8.369644007023512
Kenya,1970,-1128.65,-1128.65,
Argentina,1970,3030.73,3030.73,8.016888692665137
Mexico,1970,12941.6,12941.6,9.468279475228726
Mexico,1970,2919.67,2919.67,7.979568320997025
France,1970,18804.71,18804.71,9.84191582610768
Turkey,1970,6569.32,6569.32,8.790317816533033
Indonesia,1970,16340.56,16340.56,9.701466835093136
Germany,1970,13478.07,13478.07,9.50889339098838
Canada,1970,35575.96,27317.421,10.215316515528354
Japan,1970,4354.36,4354.36,8.379162549475208
Nigeria,1970,-5502.12,-2777.4275,
Germany,1970,8886.51,8886.51,9.092402199286672
Argentina,1970,13579.23,13579.23,9.51637033764084
United States,1970,14543.67,14543.67,9.584979882462914
Argentina,1970,17559.72,17559.72,9.773419868626442
Brazil,1970,14707.28,14707.28,9.59616587949859
Turkey,1970,12013.05,12013.05,9.393832077212666
Nigeria,1970,-15074.45,-2777.4275,
Argentina,1970,13971.63,13971.63,9.544855695090552
Indonesia,1970,13183.15,13183.15,9.486770629511716
Indonesia,1970,9032.46,9032.46,9.108690740241595
Australia,1970,25524.07,25524.07,10.14741638543851
Japan,1970,12078.07,12078.07,9.399229481770206
Brazil,1970,15604.61,15604.61,9.65538574397613
Australia,1970,17184.95,17184.95,9.75184746852412
Kenya,1970,19202.15,19202.15,9.862829607059092
Russia,1970,8969.1,8969.1,9.101652103262719
Mexico,1970,18350.08,18350.08,9.817443707336626
Japan,1970,13652.92,13652.92,9.521781938872149
Japan,1970,8512.85,8512.85,9.049449528192024
France,1970,21291.25,21291.25,9.966098435722872
United States,1970,13952.59,13952.59,9.54349210181153
Mexico,1970,11098.93,11098.93,9.314694080974235
Canada,1970,16436.98,16436.98,9.707349790014677
Turkey,1970,4854.91,4854.91,8.48795179879493
Saudi Arabia,1970,14796.05,14796.05,9.602183115560148
Mexico,1970,21853.9,21853.9,9.992180431674958
South Africa,1970,416.31,416.31,6.033829350885751
Russia,1970,19634.77,19634.77,9.88510818192947
Kenya,1970,3856.84,3856.84,8.257862720340254
Indonesia,1970,15235.44,15235.44,9.631445206152364
United States,1970,20580.7,20580.7,9.932157610446838
Egypt,1970,2895.34,2895.34,7.971203149929294
Kenya,1970,28786.4,27317.421,10.215316515528354
United States,1970,36624.22,27317.421,10.215316515528354
Australia,1970,15269.75,15269.75,9.633694512920087
Egypt,1970,-4825.48,-2777.4275,
Mexico,1970,20767.98,20767.98,9.941215806372009
China,1970,-2788.59,-2777.4275,
Kenya,1970,-1227.7,-1227.7,
Nigeria,1970,-15229.35,-2777.4275,
Indonesia,1970,3807.37,3807.37,8.2449565550567
Egypt,1970,-3149.97,-2777.4275,
Russia,1970,21382.81,21382.81,9.970389372631507
France,1970,24447.92,24447.92,10.104341322148276
Saudi Arabia,1970,4432.97,4432.97,8.397050624253504
China,1970,9267.41,9267.41,9.134367122812886
Nigeria,1970,14944.63,14944.63,9.612174228396304
Japan,1970,28226.48,27317.421,10.215316515528354
Nigeria,1970,7479.53,7479.53,8.920058924073356
Kenya,1970,-4912.65,-2777.4275,
Argentina,1970,16596.88,16596.88,9.717030255345538
Indonesia,1970,12457.91,12457.91,9.430191308579056
Mexico,1970,21900.35,21900.35,9.994303557740306
Indonesia,1970,4239.88,4239.88,8.352526073860881
Japan,1970,15394.63,15394.63,9.6418389818987
Russia,1970,16479.76,16479.76,9.709948918904983
Mexico,1970,14239.11,14239.11,9.563817909655233
South Africa,1970,-5146.71,-2777.4275,
Argentina,1970,19273.66,19273.66,9.866546558846641
Egypt,1970,3084.22,3084.22,8.03437824660074
Canada,1970,29948.83,27317.421,10.215316515528354
Indonesia,1970,19725.95,19725.95,9.889741000143404
France,1970,13731.7,13731.7,9.527535129101254
Indonesia,1970,13704.36,13704.36,9.525542276177374
China,1970,22713.25,22713.25,10.030747759818775
Argentina,1970,9609.68,9609.68,9.170630259086384
India,1970,5703.47,5703.47,8.649005357016547
India,1970,15097.79,15097.79,9.622369887141907
Mexico,1970,21634.59,21634.59,9.982094922913449
China,1970,13267.81,13267.81,9.49317144734431
China,1970,36103.05,27317.421,10.215316515528354
Indonesia,1970,10196.91,10196.91,9.229938076316303
Japan,1970,22281.73,22281.73,10.011567217953171
France,1970,26590.56,26590.56,10.188349151188559
Japan,1970,13227.2,13227.2,9.490106193430991
France,1970,5083.3,5083.3,8.533912639223006
Indonesia,1970,11067.5,11067.5,9.31185851516653
Canada,1970,20527.29,20527.29,9.929559213801618
Germany,1970,5644.15,5644.15,8.638552048418505
Kenya,1970,11186.88,11186.88,9.32258632848671
Germany,1970,23951.16,23951.16,10.083813786663818
India,1970,18515.62,18515.62,9.826423986144466
Mexico,1970,15934.64,15934.64,9.676313389207767
Kenya,1970,498.1,498.1,6.2128064764755635
Canada,1970,5903.74,5903.74,8.68351069717945
Canada,1970,3147.35,3147.35,8.054633785059735
South Korea,1970,21273.17,21273.17,9.96524893975458
Australia,1970,5544.14,5544.14,8.620677147436888
Egypt,1970,8245.46,8245.46,9.017539296333789
Australia,1970,20545.74,20545.74,9.93045756987054
Brazil,1970,22663.95,22663.95,10.028574957327955
Brazil,1970,23523.01,23523.01,10.065776880677529
Saudi Arabia,1970,28538.77,27317.421,10.215316515528354
Saudi Arabia,1970,15156.8,15156.8,9.62627052993211
Indonesia,1970,17240.36,17240.36,9.755066427417228
China,1970,18179.18,18179.18,9.808087268672555
Mexico,1970,14825.15,14825.15,9.604147792526877
Mexico,1970,10132.05,10132.05,9.223557637808984
United States,1970,7959.9,7959.9,8.982297337773659
Kenya,1970,-6315.84,-2777.4275,
Brazil,1970,5190.57,5190.57,8.554791435231532
Mexico,1970,9763.73,9763.73,9.186532193158932
