Country,Year,GDP_per_capita,Literacy_Rate,Cluster
Nigeria,1970,3173.96,87.3,0
Indonesia,1970,6108.34,74.8,1
Canada,1970,12441.22,86.8,2
Australia,1970,-2694.9,90.9,0
Canada,1970,18407.1,83.1,1
Japan,1970,12495.54,80.5,1
Nigeria,1970,1133.28,98.2,0
Mexico,1970,-760.83,75.5,1
Australia,1970,27937.7,94.2,2
United States,1970,22095.1,89.0,2
Germany,1970,10966.56,85.3,0
Russia,1970,1193.55,89.6,0
South Korea,1970,15682.55,99.0,2
Russia,1970,30965.34,93.9,2
Australia,1970,21711.52,92.8,2
Canada,1970,20564.3,81.4,1
South Korea,1970,20590.63,96.0,2
South Korea,1970,20468.55,86.4,2
Egypt,1970,-1034.11,97.4,0
South Korea,1970,12121.85,75.4,1
Australia,1970,22121.59,78.5,1
China,1970,9226.1,98.4,0
Brazil,1970,6019.64,88.4,0
Australia,1970,2751.14,81.7,0
Brazil,1970,13948.22,98.8,0
Australia,1970,8729.87,77.8,1
Nigeria,1970,4607.64,93.9,0
India,1970,8712.11,99.5,0
Canada,1970,10603.54,65.8,1
Egypt,1970,1768.3,94.7,0
Mexico,1970,4191.41,82.5,0
Kenya,1970,5401.69,89.8,0
Egypt,1970,8444.1,94.2,0
South Africa,1970,23413.73,100.0,2
Japan,1970,-6085.98,85.9,0
Germany,1970,21867.61,84.5,2
South Korea,1970,17976.84,78.7,1
France,1970,14657.41,87.1,2
Japan,1970,10005.24,97.7,0
India,1970,9126.61,92.9,0
Brazil,1970,11455.65,88.1,2
Nigeria,1970,18474.45,77.2,2
India,1970,19086.34,93.9,2
Australia,1970,18705.65,91.3,2
Japan,1970,17797.2,82.0,1
Saudi Arabia,1970,21054.31,83.7,1
India,1970,18094.47,95.5,2
Argentina,1970,18998.91,93.9,2
Nigeria,1970,19700.7,80.1,1
Australia,1970,12318.9,89.6,0
Turkey,1970,18090.59,83.5,2
South Africa,1970,9036.24,93.2,0
Australia,1970,13585.81,82.6,2
Japan,1970,11102.38,86.8,0
Japan,1970,19585.02,100.0,2
Kenya,1970,11323.12,81.8,1
Kenya,1970,1768.93,100.0,0
Japan,1970,27503.11,100.0,2
Kenya,1970,5734.2,79.6,1
China,1970,9256.65,89.8,2
Australia,1970,19278.54,79.2,1
Brazil,1970,-2905.85,80.0,0
Argentina,1970,21145.66,100.0,2
France,1970,2862.61,97.6,0
United States,1970,13595.49,92.5,2
Kenya,1970,16624.94,94.6,2
Australia,1970,22972.56,73.5,1
Saudi Arabia,1970,18733.37,82.6,2
Mexico,1970,24784.66,87.7,2
Mexico,1970,25109.65,97.7,2
Turkey,1970,5958.37,82.9,0
Brazil,1970,-262.46,71.6,1
Kenya,1970,-6297.31,56.7,1
Saudi Arabia,1970,42.07,85.3,0
Germany,1970,12259.61,86.6,0
Kenya,1970,7403.92,77.2,1
South Africa,1970,6539.63,88.2,2
United States,1970,16618.63,90.5,2
Egypt,1970,2513.23,86.4,0
Saudi Arabia,1970,23333.8,93.6,2
Mexico,1970,18604.83,72.9,1
Argentina,1970,11131.51,92.4,0
France,1970,1150.39,74.8,1
France,1970,18458.1,76.0,2
China,1970,5100.59,89.6,0
India,1970,14227.01,92.8,0
Egypt,1970,11827.38,98.3,2
Turkey,1970,33253.21,66.2,1
Canada,1970,7381.47,89.5,0
Egypt,1970,-9252.99,92.6,0
Mexico,1970,21234.79,100.0,2
Mexico,1970,15099.99,92.7,0
Russia,1970,20109.28,77.9,2
Japan,1970,20323.33,91.5,2
Saudi Arabia,1970,24361.59,85.3,2
Australia,1970,9978.13,88.4,2
Mexico,1970,17708.42,95.6,2
Indonesia,1970,31688.38,75.2,2
Nigeria,1970,12831.02,93.3,0
Nigeria,1970,-6926.59,82.6,0
Indonesia,1970,20431.45,85.8,2
Nigeria,1970,-5226.66,100.0,0
Germany,1970,26607.42,75.4,1
Egypt,1970,12847.2,86.4,1
Japan,1970,19044.71,90.7,2
Russia,1970,13220.2,76.7,2
China,1970,10141.16,95.6,0
Egypt,1970,8178.01,72.2,1
China,1970,20563.22,80.9,2
Germany,1970,23710.16,100.0,2
Australia,1970,11363.62,74.4,1
Russia,1970,12582.56,79.8,1
Australia,1970,18969.59,84.5,2
South Africa,1970,-14.27,79.7,0
France,1970,8635.54,60.1,1
United States,1970,346.54,72.6,1
France,1970,17646.81,88.1,2
United States,1970,17773.68,86.2,2
Kenya,1970,11667.09,94.0,2
Australia,1970,8344.36,98.3,0
Russia,1970,24916.67,70.2,1
Egypt,1970,-2591.48,77.1,0
Egypt,1970,2567.25,82.2,0
Australia,1970,30182.14,78.7,1
United States,1970,12287.02,83.2,1
Japan,1970,21262.99,76.7,1
Brazil,1970,12119.69,72.4,1
China,1970,5855.85,83.5,0
Russia,1970,19824.76,83.5,1
France,1970,10426.03,99.5,2
Argentina,1970,18392.53,63.7,1
Germany,1970,22964.65,90.8,2
China,1970,-1147.9,83.4,0
Brazil,1970,7038.81,70.3,1
Nigeria,1970,4827.51,84.9,0
Japan,1970,20317.62,77.4,2
Mexico,1970,13797.44,79.5,1
Japan,1970,17057.59,87.1,2
Nigeria,1970,-3142.3,93.1,0
Nigeria,1970,937.46,87.7,0
Indonesia,1970,24455.13,70.8,1
Russia,1970,10085.41,93.3,0
South Korea,1970,25368.5,90.9,2
Germany,1970,12025.14,95.0,2
United States,1970,22600.13,86.8,2
South Africa,1970,5144.39,65.9,1
Saudi Arabia,1970,10551.05,81.8,2
Egypt,1970,12075.77,90.5,2
Indonesia,1970,12898.72,86.7,2
Argentina,1970,24996.04,97.3,2
Mexico,1970,12760.05,90.7,0
South Korea,1970,9146.95,88.6,0
Saudi Arabia,1970,17780.49,99.5,0
India,1970,16943.06,77.3,2
Kenya,1970,-12622.49,84.7,0
Argentina,1970,11093.81,87.0,2
Kenya,1970,21359.49,81.8,1
France,1970,5790.77,82.8,2
South Africa,1970,11459.48,88.9,2
Argentina,1970,26697.57,87.8,2
India,1970,5486.14,83.6,0
Saudi Arabia,1970,20069.29,82.8,2
Argentina,1970,14092.15,79.1,1
South Korea,1970,14498.88,87.3,1
Australia,1970,13058.41,83.6,2
Germany,1970,9118.39,97.7,0
Japan,1970,19951.09,58.7,1
Australia,1970,15688.89,80.2,1
India,1970,11537.81,77.9,1
South Korea,1970,14925.69,79.9,1
China,1970,11667.0,60.7,1
Brazil,1970,16949.26,78.7,1
Nigeria,1970,10382.75,80.2,1
Russia,1970,4012.78,85.1,0
Mexico,1970,26480.7,93.9,2
Argentina,1970,18943.89,74.1,1
Japan,1970,22981.06,89.9,2
Germany,1970,4131.41,75.3,1
Mexico,1970,8767.26,91.1,0
Mexico,1970,6559.29,71.3,1
Saudi Arabia,1970,13424.63,88.8,2
Japan,1970,14841.01,95.4,0
Indonesia,1970,21037.87,90.0,1
Brazil,1970,9768.81,79.4,1
South Africa,1970,5816.28,76.8,1
Nigeria,1970,-1379.88,86.4,0
Nigeria,1970,5257.02,81.0,0
Nigeria,1970,6594.72,75.4,1
United States,1970,13998.6,93.8,2
South Africa,1970,6096.53,74.1,1
Egypt,1970,4819.88,79.4,0
Indonesia,1970,4144.52,77.4,0
Egypt,1970,13197.38,71.7,1
Indonesia,1970,10359.87,88.9,0
United States,1970,11310.64,87.9,0
Kenya,1970,11049.17,80.4,2
France,1970,7329.77,88.8,2
Kenya,1970,-712.9,88.4,0
South Korea,1970,24441.03,79.5,1
Russia,1970,16733.46,100.0,2
South Korea,1970,18284.4,75.3,1
Russia,1970,6438.47,79.3,0
South Korea,1970,21471.35,100.0,2
Nigeria,1970,2493.91,74.2,1
Nigeria,1970,1779.65,94.4,0
India,1970,20490.83,79.9,1
Japan,1970,11370.91,97.6,2
Russia,1970,18091.06,72.8,1
South Africa,1970,9098.6,82.7,1
Indonesia,1970,12477.63,82.2,2
Argentina,1970,8150.64,74.4,1
Saudi Arabia,1970,13149.59,91.7,2
India,1970,22610.45,97.7,2
Kenya,1970,8618.91,84.6,0
South Korea,1970,34106.98,90.2,2
Kenya,1970,16741.36,89.7,2
Russia,1970,19150.97,82.1,1
Nigeria,1970,2112.67,97.8,0
Canada,1970,7044.57,93.0,2
Kenya,1970,3806.14,87.9,0
Indonesia,1970,-1722.42,87.6,0
United States,1970,19056.16,69.0,1
Kenya,1970,9275.61,76.3,1
Indonesia,1970,14498.81,74.5,2
Japan,1970,11252.03,85.8,2
Canada,1970,10505.26,86.5,0
Indonesia,1970,11193.64,68.2,1
Germany,1970,5043.66,89.3,0
Indonesia,1970,20059.63,91.4,2
Argentina,1970,1491.96,74.8,1
China,1970,17142.75,86.6,1
Argentina,1970,28309.86,80.0,1
Germany,1970,27275.86,97.3,2
India,1970,28985.1,89.3,2
Australia,1970,13434.41,74.7,1
Saudi Arabia,1970,12644.35,64.1,1
Egypt,1970,-5583.73,100.0,0
France,1970,14081.58,100.0,2
Mexico,1970,20862.63,83.6,2
Argentina,1970,-1838.0,77.6,0
Kenya,1970,14304.61,90.4,0
Saudi Arabia,1970,18992.77,95.7,2
Saudi Arabia,1970,17733.28,85.2,2
South Africa,1970,9949.21,87.9,0
Nigeria,1970,4330.3,86.4,0
Brazil,1970,15676.15,100.0,2
Brazil,1970,23230.15,87.0,2
Germany,1970,14680.84,79.1,1
United States,1970,20513.32,86.0,2
Mexico,1970,18836.06,90.4,2
Indonesia,1970,20972.89,79.7,1
Canada,1970,17184.09,94.7,2
Kenya,1970,682.98,66.5,1
Mexico,1970,23323.45,100.0,2
Egypt,1970,12235.52,79.9,1
Argentina,1970,6793.06,89.0,0
Australia,1970,29278.2,74.3,1
Russia,1970,6551.75,97.0,0
China,1970,22776.46,89.2,2
China,1970,11700.17,77.2,1
Canada,1970,4313.1,92.0,0
Kenya,1970,-1128.65,89.2,0
Argentina,1970,3030.73,92.6,0
Mexico,1970,12941.6,75.2,1
Mexico,1970,2919.67,73.0,1
France,1970,18804.71,96.9,2
Turkey,1970,6569.32,100.0,0
Indonesia,1970,16340.56,76.0,1
Germany,1970,13478.07,100.0,0
Canada,1970,35575.96,78.8,1
Japan,1970,4354.36,86.5,2
Nigeria,1970,-5502.12,85.1,0
Germany,1970,8886.51,65.2,1
Argentina,1970,13579.23,67.3,1
United States,1970,14543.67,78.7,2
Argentina,1970,17559.72,73.9,1
Brazil,1970,14707.28,84.8,1
Turkey,1970,12013.05,84.8,0
Nigeria,1970,-15074.45,81.2,0
Argentina,1970,13971.63,90.3,2
Indonesia,1970,13183.15,87.6,2
Indonesia,1970,9032.46,78.9,1
Australia,1970,25524.07,81.5,1
Japan,1970,12078.07,98.3,0
Brazil,1970,15604.61,84.7,1
Australia,1970,17184.95,81.3,2
Kenya,1970,19202.15,77.8,1
Russia,1970,8969.1,82.2,0
Mexico,1970,18350.08,85.4,2
Japan,1970,13652.92,67.2,1
Japan,1970,8512.85,88.0,0
France,1970,21291.25,67.6,1
United States,1970,13952.59,84.6,2
Mexico,1970,11098.93,98.3,2
Canada,1970,16436.98,81.6,1
Turkey,1970,4854.91,74.5,1
Saudi Arabia,1970,14796.05,64.1,1
Mexico,1970,21853.9,82.4,2
South Africa,1970,416.31,84.5,0
Russia,1970,19634.77,75.1,1
Kenya,1970,3856.84,71.4,1
Indonesia,1970,15235.44,81.8,1
United States,1970,20580.7,81.4,1
Egypt,1970,2895.34,85.9,0
Kenya,1970,28786.4,82.6,2
United States,1970,36624.22,76.6,2
Australia,1970,15269.75,68.3,1
Egypt,1970,-4825.48,99.4,0
Mexico,1970,20767.98,79.3,2
China,1970,-2788.59,97.3,0
Kenya,1970,-1227.7,75.9,0
Nigeria,1970,-15229.35,100.0,0
Indonesia,1970,3807.37,95.8,0
Egypt,1970,-3149.97,76.0,0
Russia,1970,21382.81,86.6,2
France,1970,24447.92,61.9,1
Saudi Arabia,1970,4432.97,93.3,0
China,1970,9267.41,91.0,0
Nigeria,1970,14944.63,79.1,1
Japan,1970,28226.48,100.0,2
Nigeria,1970,7479.53,90.2,0
Kenya,1970,-4912.65,93.4,0
Argentina,1970,16596.88,86.9,1
Indonesia,1970,12457.91,79.1,2
Mexico,1970,21900.35,97.2,2
Indonesia,1970,4239.88,93.5,0
Japan,1970,15394.63,82.3,1
Russia,1970,16479.76,76.0,1
Mexico,1970,14239.11,84.6,2
South Africa,1970,-5146.71,87.3,0
Argentina,1970,19273.66,76.3,1
Egypt,1970,3084.22,77.2,1
Canada,1970,29948.83,79.3,2
Indonesia,1970,19725.95,87.6,2
France,1970,13731.7,93.7,0
Indonesia,1970,13704.36,71.8,1
China,1970,22713.25,77.5,1
Argentina,1970,9609.68,80.2,1
India,1970,5703.47,78.4,0
India,1970,15097.79,84.7,2
Mexico,1970,21634.59,60.1,1
China,1970,13267.81,90.0,2
China,1970,36103.05,71.5,1
Indonesia,1970,10196.91,89.9,0
Japan,1970,22281.73,86.9,2
France,1970,26590.56,89.4,2
Japan,1970,13227.2,94.8,2
France,1970,5083.3,79.7,0
Indonesia,1970,11067.5,86.1,0
Canada,1970,20527.29,83.9,2
Germany,1970,5644.15,92.3,2
Kenya,1970,11186.88,100.0,0
Germany,1970,23951.16,85.6,2
India,1970,18515.62,92.5,2
Mexico,1970,15934.64,76.9,1
Kenya,1970,498.1,88.3,0
Canada,1970,5903.74,90.1,0
Canada,1970,3147.35,82.2,0
South Korea,1970,21273.17,88.4,2
Australia,1970,5544.14,72.3,1
Egypt,1970,8245.46,61.2,1
Australia,1970,20545.74,100.0,2
Brazil,1970,22663.95,96.8,2
Brazil,1970,23523.01,99.2,2
Saudi Arabia,1970,28538.77,84.3,2
Saudi Arabia,1970,15156.8,97.6,2
Indonesia,1970,17240.36,81.3,1
China,1970,18179.18,96.1,2
Mexico,1970,14825.15,97.9,2
Mexico,1970,10132.05,87.5,0
United States,1970,7959.9,78.8,2
Kenya,1970,-6315.84,68.0,1
Brazil,1970,5190.57,100.0,0
Mexico,1970,9763.73,89.4,2
Argentina,1970,18059.47,100.0,2
Australia,1970,23849.85,88.4,2
Mexico,1970,21665.26,75.8,1
South Africa,1970,6952.13,76.0,1
Indonesia,1970,15129.0,78.0,1
Egypt,1970,11976.47,83.5,2
Argentina,1970,26698.04,87.8,1
Argentina,1970,19546.19,97.0,0
Kenya,1970,5178.38,88.3,2
France,1970,6989.48,83.2,2
United States,1970,17768.94,83.0,1
Canada,1970,28204.58,73.3,1
Indonesia,1970,24615.45,80.8,2
Egypt,1970,11120.46,100.0,2
South Korea,1970,8088.16,72.0,1
South Africa,1970,-11716.29,100.0,0
Nigeria,1970,2617.23,86.1,0
India,1970,9910.21,89.4,2
Kenya,1970,4257.15,82.1,0
Canada,1970,14907.88,71.8,1
South Korea,1970,19408.14,84.6,2
Germany,1970,9933.82,89.5,0
Japan,1970,22574.46,87.9,2
Brazil,1970,9507.69,100.0,0
China,1970,-1258.83,74.3,1
South Korea,1970,26572.51,94.6,2
Turkey,1970,12057.72,78.3,1
Brazil,1970,23933.45,90.4,2
Indonesia,1970,30296.04,95.0,2
Japan,1970,4966.71,84.4,0
Mexico,1970,21152.25,67.2,1
China,1970,25772.57,92.3,2
France,1970,31389.67,89.0,2
South Korea,1970,19007.34,75.7,1
France,1970,21383.8,73.5,1
Nigeria,1970,1837.07,91.0,0
India,1970,27844.96,96.8,2
South Korea,1970,17743.41,64.0,1
Argentina,1970,3315.99,84.4,0
South Korea,1970,20065.8,88.5,1
Egypt,1970,18025.56,76.6,1
United States,1970,16547.59,86.0,2
Russia,1970,-10768.13,89.8,0
Saudi Arabia,1970,7986.42,77.2,1
Germany,1970,9060.91,85.4,0
Kenya,1970,13496.62,81.4,2
India,1970,12734.78,94.9,0
Canada,1970,16117.21,86.6,1
Kenya,1970,-6327.54,100.0,0
India,1970,14903.65,91.6,2
Egypt,1970,1943.58,80.6,0
China,1970,-338.79,94.7,0
Mexico,1970,30869.07,78.4,2
Russia,1970,22239.7,84.3,1
Argentina,1970,24997.68,84.8,2
Australia,1970,8403.1,79.9,1
Indonesia,1970,6598.51,65.5,1
Australia,1970,20082.63,92.1,1
Canada,1970,33954.3,67.6,1
South Africa,1970,389.58,99.2,0
Mexico,1970,17449.08,91.6,0
South Korea,1970,4713.09,65.9,1
South Korea,1970,22453.33,88.1,1
South Korea,1970,4537.79,86.4,0
France,1970,8822.46,96.8,0
South Africa,1970,10256.22,84.9,0
Mexico,1970,16619.07,75.8,2
South Africa,1970,18119.31,100.0,2
United States,1970,6493.16,92.6,0
Japan,1970,31890.37,91.2,2
China,1970,-2964.69,88.0,0
South Africa,1970,6005.03,85.0,2
Russia,1970,28805.55,62.6,1
Argentina,1970,16737.66,82.5,1
Egypt,1970,3415.14,64.5,1
China,1970,11548.35,84.6,0
United States,1970,20919.55,73.5,1
China,1970,2738.53,67.8,1
Russia,1970,9878.76,84.7,0
Brazil,1970,20300.29,86.7,1
United States,1970,2416.09,79.9,0
United States,1970,11996.74,81.1,2
Egypt,1970,-2418.17,93.4,0
Japan,1970,22722.61,81.4,2
Brazil,1970,22562.49,74.4,1
Canada,1970,27159.62,86.4,2
Australia,1970,14967.42,82.1,2
India,1970,19262.27,94.0,2
Indonesia,1970,26944.02,70.9,1
South Korea,1970,8905.92,76.2,1
Argentina,1970,9287.48,99.4,2
Mexico,1970,17981.19,85.0,2
Egypt,1970,9675.29,76.9,1
Canada,1970,21480.22,100.0,2
Kenya,1970,15742.8,96.7,0
United States,1970,23320.46,95.2,2
Indonesia,1970,14537.31,80.5,1
Australia,1970,8331.21,79.4,1
Indonesia,1970,16241.24,76.0,1
Germany,1970,22700.02,73.5,1
Japan,1970,20627.94,80.5,2
China,1970,9794.75,90.4,2
China,1970,31433.55,74.8,1
Saudi Arabia,1970,37921.7,88.3,2
Russia,1970,16132.77,82.3,2
France,1970,25643.46,73.7,1
Turkey,1970,21182.78,90.4,2
Mexico,1970,25484.85,91.0,2
Saudi Arabia,1970,13602.82,100.0,2
India,1970,18292.53,85.1,1
Russia,1970,14670.01,100.0,0
Australia,1970,11761.64,79.9,1
Egypt,1970,-3431.41,76.6,0
Japan,1970,28111.68,76.6,1
France,1970,25222.85,95.3,2
India,1970,9136.59,79.3,2
Australia,1970,1999.03,92.9,0
Nigeria,1970,2381.29,92.9,0
China,1970,11610.47,82.1,2
Germany,1970,7948.53,81.4,2
Germany,1970,14338.42,96.4,2
Australia,1970,18522.83,80.1,1
South Korea,1970,-4168.66,65.2,1
Russia,1970,945.05,88.4,0
Argentina,1970,12332.11,87.8,2
Russia,1970,7731.98,77.7,1
India,1970,17110.04,69.8,1
South Korea,1970,13866.33,100.0,2
Canada,1970,17100.02,100.0,2
Saudi Arabia,1970,15431.18,94.5,2
South Korea,1970,20149.35,97.4,2
Argentina,1970,6378.23,75.2,1
South Africa,1970,-9217.94,80.2,0
Indonesia,1970,-1357.03,75.1,0
India,1970,9359.12,91.8,0
Russia,1970,23973.51,100.0,2
India,1970,8994.24,81.1,2
Argentina,1970,12466.56,94.4,2
Australia,1970,21439.47,88.8,2
Saudi Arabia,1970,21651.99,82.3,1
Russia,1970,13498.18,71.8,1
Saudi Arabia,1970,15452.09,92.1,2
United States,1970,15699.13,88.3,2
Nigeria,1970,7430.09,76.1,1
Japan,1970,22020.38,87.4,2
United States,1970,4084.23,88.1,0
China,1970,10285.97,81.5,1
France,1970,16870.92,61.4,1
China,1970,6537.31,85.9,0
Germany,1970,19907.68,79.7,1
South Africa,1970,5261.08,99.0,0
Australia,1970,8707.42,78.8,1
Japan,1970,8996.72,81.2,1
South Korea,1970,9732.94,69.5,1
Japan,1970,30869.63,77.8,2
Saudi Arabia,1970,19283.67,80.5,1
Canada,1970,10197.29,89.8,2
Brazil,1970,13131.14,74.4,1
Canada,1970,18840.51,100.0,2
Nigeria,1970,4486.28,81.9,0
Australia,1970,12180.37,92.1,0
Saudi Arabia,1970,18566.71,97.1,2
Australia,1970,16391.58,90.6,0
South Africa,1970,19486.89,95.5,0
India,1970,19906.12,77.3,1
Australia,1970,3022.14,91.9,0
Kenya,1970,9175.24,96.5,0
Indonesia,1970,27936.36,65.3,1
Kenya,1970,8502.84,100.0,0
Egypt,1970,1401.14,93.0,0
Saudi Arabia,1970,16659.91,86.0,2
United States,1970,31297.69,83.8,2
Kenya,1970,16736.2,91.6,2
China,1970,5657.08,86.5,0
Kenya,1970,2893.32,82.7,0
India,1970,16657.12,100.0,2
Indonesia,1970,-636.74,81.2,0
Brazil,1970,22771.3,80.4,2
France,1970,8695.62,96.4,0
Egypt,1970,-5631.31,77.9,0
Russia,1970,10887.29,73.5,1
Germany,1970,18897.75,91.9,2
Canada,1970,18046.61,71.3,1
United States,1970,11106.59,71.5,1
Germany,1970,18481.69,91.7,2
Argentina,1970,16662.88,86.4,2
Argentina,1970,15356.42,82.0,1
Australia,1970,-2251.56,89.3,0
India,1970,7513.35,88.0,0
United States,1970,11609.33,91.8,0
Brazil,1970,29103.84,88.9,2
Mexico,1970,6965.3,75.1,1
Germany,1970,26321.64,83.5,2
India,1970,7492.26,81.4,0
Australia,1970,20336.52,99.9,2
France,1970,17456.31,98.7,2
Germany,1970,27196.14,66.9,1
