Year,Education_Level,Enrollment_Rate
2017,Primary_Enrollment_winsorized,89.5
2016,Primary_Enrollment_winsorized,93.7
2024,Primary_Enrollment_winsorized,88.0
2022,Primary_Enrollment_winsorized,96.5
2022,Primary_Enrollment_winsorized,95.4
2017,Primary_Enrollment_winsorized,100.0
2019,Primary_Enrollment_winsorized,86.8
2016,Primary_Enrollment_winsorized,91.6
2021,Primary_Enrollment_winsorized,92.0
2016,Primary_Enrollment_winsorized,91.1
2015,Primary_Enrollment_winsorized,98.4
2017,Primary_Enrollment_winsorized,92.4
2019,Primary_Enrollment_winsorized,97.9
2018,Primary_Enrollment_winsorized,92.7
2023,Primary_Enrollment_winsorized,91.3
2024,Primary_Enrollment_winsorized,94.7
2024,Primary_Enrollment_winsorized,100.0
2023,Primary_Enrollment_winsorized,96.4
2022,Primary_Enrollment_winsorized,91.7
2019,Primary_Enrollment_winsorized,100.0
2021,Primary_Enrollment_winsorized,95.8
2024,Primary_Enrollment_winsorized,88.8
2015,Primary_Enrollment_winsorized,94.1
2016,Primary_Enrollment_winsorized,88.9
2018,Primary_Enrollment_winsorized,95.2
2016,Primary_Enrollment_winsorized,96.7
2018,Primary_Enrollment_winsorized,86.8
2023,Primary_Enrollment_winsorized,96.2
2017,Primary_Enrollment_winsorized,94.3
2021,Primary_Enrollment_winsorized,93.6
2024,Primary_Enrollment_winsorized,91.5
2019,Primary_Enrollment_winsorized,100.0
2018,Primary_Enrollment_winsorized,94.5
2019,Primary_Enrollment_winsorized,97.7
2016,Primary_Enrollment_winsorized,93.2
2019,Primary_Enrollment_winsorized,90.8
2018,Primary_Enrollment_winsorized,95.5
2016,Primary_Enrollment_winsorized,93.9
2018,Primary_Enrollment_winsorized,96.5
2019,Primary_Enrollment_winsorized,92.0
2016,Primary_Enrollment_winsorized,86.9
2017,Primary_Enrollment_winsorized,100.0
2024,Primary_Enrollment_winsorized,100.0
2019,Primary_Enrollment_winsorized,100.0
2016,Primary_Enrollment_winsorized,94.4
2019,Primary_Enrollment_winsorized,94.0
2019,Primary_Enrollment_winsorized,92.3
2023,Primary_Enrollment_winsorized,86.8
2022,Primary_Enrollment_winsorized,92.3
2024,Primary_Enrollment_winsorized,100.0
2021,Primary_Enrollment_winsorized,98.0
2024,Primary_Enrollment_winsorized,91.5
2015,Primary_Enrollment_winsorized,97.7
2018,Primary_Enrollment_winsorized,91.5
2024,Primary_Enrollment_winsorized,99.8
2019,Primary_Enrollment_winsorized,96.7
2015,Primary_Enrollment_winsorized,92.8
2022,Primary_Enrollment_winsorized,100.0
2022,Primary_Enrollment_winsorized,94.2
2017,Primary_Enrollment_winsorized,95.7
2021,Primary_Enrollment_winsorized,86.8
2016,Primary_Enrollment_winsorized,95.7
2020,Primary_Enrollment_winsorized,98.8
2020,Primary_Enrollment_winsorized,94.2
2016,Primary_Enrollment_winsorized,100.0
2020,Primary_Enrollment_winsorized,94.9
2022,Primary_Enrollment_winsorized,95.0
2021,Primary_Enrollment_winsorized,100.0
2015,Primary_Enrollment_winsorized,100.0
2016,Primary_Enrollment_winsorized,88.6
2019,Primary_Enrollment_winsorized,97.0
2016,Primary_Enrollment_winsorized,91.3
2023,Primary_Enrollment_winsorized,86.8
2023,Primary_Enrollment_winsorized,90.6
2021,Primary_Enrollment_winsorized,98.5
2018,Primary_Enrollment_winsorized,96.8
2020,Primary_Enrollment_winsorized,95.3
2022,Primary_Enrollment_winsorized,95.3
2015,Primary_Enrollment_winsorized,97.0
2019,Primary_Enrollment_winsorized,86.8
2017,Primary_Enrollment_winsorized,91.9
2022,Primary_Enrollment_winsorized,94.8
2016,Primary_Enrollment_winsorized,90.1
2024,Primary_Enrollment_winsorized,96.5
2017,Primary_Enrollment_winsorized,94.5
2023,Primary_Enrollment_winsorized,97.6
2023,Primary_Enrollment_winsorized,100.0
2016,Primary_Enrollment_winsorized,89.4
2016,Primary_Enrollment_winsorized,95.9
2016,Primary_Enrollment_winsorized,100.0
2022,Primary_Enrollment_winsorized,93.5
2023,Primary_Enrollment_winsorized,91.8
2021,Primary_Enrollment_winsorized,98.4
2022,Primary_Enrollment_winsorized,97.3
2022,Primary_Enrollment_winsorized,94.1
2017,Primary_Enrollment_winsorized,98.2
2018,Primary_Enrollment_winsorized,90.2
2023,Primary_Enrollment_winsorized,95.0
2016,Primary_Enrollment_winsorized,97.7
2021,Primary_Enrollment_winsorized,99.3
2023,Primary_Enrollment_winsorized,96.2
2015,Primary_Enrollment_winsorized,97.7
2019,Primary_Enrollment_winsorized,90.3
2024,Primary_Enrollment_winsorized,97.4
2017,Primary_Enrollment_winsorized,100.0
2023,Primary_Enrollment_winsorized,99.1
2020,Primary_Enrollment_winsorized,100.0
2023,Primary_Enrollment_winsorized,93.2
2021,Primary_Enrollment_winsorized,100.0
2020,Primary_Enrollment_winsorized,93.4
2018,Primary_Enrollment_winsorized,96.2
2021,Primary_Enrollment_winsorized,100.0
2021,Primary_Enrollment_winsorized,91.2
2020,Primary_Enrollment_winsorized,91.0
2021,Primary_Enrollment_winsorized,95.3
2017,Primary_Enrollment_winsorized,95.5
2015,Primary_Enrollment_winsorized,90.6
2023,Primary_Enrollment_winsorized,86.8
2020,Primary_Enrollment_winsorized,86.8
2022,Primary_Enrollment_winsorized,93.0
2023,Primary_Enrollment_winsorized,93.7
2015,Primary_Enrollment_winsorized,96.5
2021,Primary_Enrollment_winsorized,100.0
2016,Primary_Enrollment_winsorized,93.1
2019,Primary_Enrollment_winsorized,95.4
2024,Primary_Enrollment_winsorized,89.0
2016,Primary_Enrollment_winsorized,93.8
2023,Primary_Enrollment_winsorized,99.8
2020,Primary_Enrollment_winsorized,100.0
2023,Primary_Enrollment_winsorized,92.4
2024,Primary_Enrollment_winsorized,95.7
2018,Primary_Enrollment_winsorized,100.0
2018,Primary_Enrollment_winsorized,92.4
2021,Primary_Enrollment_winsorized,94.1
2016,Primary_Enrollment_winsorized,94.9
2017,Primary_Enrollment_winsorized,99.4
2015,Primary_Enrollment_winsorized,97.2
2020,Primary_Enrollment_winsorized,100.0
2019,Primary_Enrollment_winsorized,95.7
2020,Primary_Enrollment_winsorized,91.2
2017,Primary_Enrollment_winsorized,91.5
2023,Primary_Enrollment_winsorized,95.2
2024,Primary_Enrollment_winsorized,90.6
2017,Primary_Enrollment_winsorized,89.9
2016,Primary_Enrollment_winsorized,100.0
2021,Primary_Enrollment_winsorized,86.8
2018,Primary_Enrollment_winsorized,97.9
2024,Primary_Enrollment_winsorized,86.8
2018,Primary_Enrollment_winsorized,93.6
2019,Primary_Enrollment_winsorized,100.0
2019,Primary_Enrollment_winsorized,96.3
2022,Primary_Enrollment_winsorized,93.9
2023,Primary_Enrollment_winsorized,99.6
2016,Primary_Enrollment_winsorized,98.8
2020,Primary_Enrollment_winsorized,96.9
2019,Primary_Enrollment_winsorized,93.0
2019,Primary_Enrollment_winsorized,96.3
2019,Primary_Enrollment_winsorized,99.3
2021,Primary_Enrollment_winsorized,99.7
2016,Primary_Enrollment_winsorized,92.4
2021,Primary_Enrollment_winsorized,89.4
2020,Primary_Enrollment_winsorized,100.0
2019,Primary_Enrollment_winsorized,96.7
2015,Primary_Enrollment_winsorized,98.1
2019,Primary_Enrollment_winsorized,90.2
2024,Primary_Enrollment_winsorized,100.0
2024,Primary_Enrollment_winsorized,94.8
2019,Primary_Enrollment_winsorized,95.3
2024,Primary_Enrollment_winsorized,94.0
2018,Primary_Enrollment_winsorized,90.4
2024,Primary_Enrollment_winsorized,95.0
2017,Primary_Enrollment_winsorized,97.2
2015,Primary_Enrollment_winsorized,100.0
2022,Primary_Enrollment_winsorized,95.1
2024,Primary_Enrollment_winsorized,100.0
2017,Primary_Enrollment_winsorized,93.5
2019,Primary_Enrollment_winsorized,100.0
2021,Primary_Enrollment_winsorized,97.1
2018,Primary_Enrollment_winsorized,100.0
2023,Primary_Enrollment_winsorized,95.1
2023,Primary_Enrollment_winsorized,92.9
2019,Primary_Enrollment_winsorized,88.3
2019,Primary_Enrollment_winsorized,97.5
2019,Primary_Enrollment_winsorized,100.0
2016,Primary_Enrollment_winsorized,88.0
2016,Primary_Enrollment_winsorized,95.0
2018,Primary_Enrollment_winsorized,96.5
2023,Primary_Enrollment_winsorized,92.2
2016,Primary_Enrollment_winsorized,100.0
2015,Primary_Enrollment_winsorized,95.1
2023,Primary_Enrollment_winsorized,100.0
2022,Primary_Enrollment_winsorized,100.0
2019,Primary_Enrollment_winsorized,91.1
2021,Primary_Enrollment_winsorized,98.4
2016,Primary_Enrollment_winsorized,86.8
2022,Primary_Enrollment_winsorized,90.8
2024,Primary_Enrollment_winsorized,94.6
2020,Primary_Enrollment_winsorized,95.2
2018,Primary_Enrollment_winsorized,93.1
2022,Primary_Enrollment_winsorized,100.0
2021,Primary_Enrollment_winsorized,92.9
2017,Primary_Enrollment_winsorized,95.8
2015,Primary_Enrollment_winsorized,99.1
2022,Primary_Enrollment_winsorized,95.1
2016,Primary_Enrollment_winsorized,94.7
2023,Primary_Enrollment_winsorized,90.3
2021,Primary_Enrollment_winsorized,96.7
2020,Primary_Enrollment_winsorized,96.9
2021,Primary_Enrollment_winsorized,100.0
2017,Primary_Enrollment_winsorized,100.0
2016,Primary_Enrollment_winsorized,91.4
2024,Primary_Enrollment_winsorized,92.7
2019,Primary_Enrollment_winsorized,92.7
2020,Primary_Enrollment_winsorized,96.2
2022,Primary_Enrollment_winsorized,90.9
2018,Primary_Enrollment_winsorized,89.0
2016,Primary_Enrollment_winsorized,96.0
2023,Primary_Enrollment_winsorized,93.4
2015,Primary_Enrollment_winsorized,95.2
2019,Primary_Enrollment_winsorized,93.1
2016,Primary_Enrollment_winsorized,94.9
2016,Primary_Enrollment_winsorized,95.2
2024,Primary_Enrollment_winsorized,95.5
2015,Primary_Enrollment_winsorized,89.7
2018,Primary_Enrollment_winsorized,93.4
2024,Primary_Enrollment_winsorized,100.0
2016,Primary_Enrollment_winsorized,93.7
2018,Primary_Enrollment_winsorized,98.8
2018,Primary_Enrollment_winsorized,89.1
2020,Primary_Enrollment_winsorized,100.0
2024,Primary_Enrollment_winsorized,91.3
2019,Primary_Enrollment_winsorized,96.7
2017,Primary_Enrollment_winsorized,99.9
2019,Primary_Enrollment_winsorized,91.3
2016,Primary_Enrollment_winsorized,89.8
2017,Primary_Enrollment_winsorized,100.0
